15012016                              Saída dinâmica de lista                                      1
------------------------------------------------------------------------------------------------------
15012016                          Fiscal - Cálculo Parcela Dedutível                             1
------------------------------------------------------------------------------------------------------
Fiscal - Cálculo Parcela Dedutível
------------------------------------------------------------------------------------------------------
| Material|Quantidade básica|UMB|Componente|TMat|Qtd|           Qtd|UM |O|   por| Prçstandard|Moeda|
| Y2307147|       1000.000 |UN |Y3757049  |HALB|X  |        15.000 |M  |0|1000 |      216.90 |     |
| Y2307147|       1000.000 |UN |Y3757049  |HALB|   |       719.000 |M  |0|1000 |      216.90 |     |
| Y2294605|       1000.000 |UN |Y2304705  |ZRAW|   |       180.000 |M  |1|    1 |        5.53 |     |
| Y2294605|       1000.000 |UN |Y2304715  |ZRAW|   |       180.000 |M  |1|    1 |        2.43 |     |
| Y2307148|       1000.000 |UN |Y2303753  |ZRAW|X  |        15.000 |M  |1|1000 |             |     |
| Y2307148|       1000.000 |UN |Y2303753  |ZRAW|   |        15.000 |M  |1|1000 |             |     |
| Y2294606|       1000.000 |UN |Y2279624  |ZRAW|   |     1000.000 |UN |0|    1 |        4.80 |     |
| Y2294606|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2294606|       1000.000 |UN |Y2304715  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2307149|       1000.000 |UN |Y2278447  |HALB|X  |        15.000 |M  |0|1000 |      703.13 |     |
| Y2307149|       1000.000 |UN |Y2278447  |HALB|   |        28.000 |M  |0|1000 |      703.13 |     |
| Y2294607|       1000.000 |UN |Y2304705  |ZRAW|   |       180.000 |M  |1|    1 |        5.53 |     |
| Y2294607|       1000.000 |UN |Y2304715  |ZRAW|   |       180.000 |M  |1|    1 |        2.43 |     |
| Y2307150|       1000.000 |UN |Y3066712  |HALB|X  |        20.000 |M  |2|1000 |    1008.34 |     |
| Y2307150|       1000.000 |UN |Y3066712  |HALB|   |       368.000 |M  |2|1000 |    1008.34 |     |
| Y2294608|       1000.000 |UN |Y2279624  |ZRAW|   |     1000.000 |UN |0|    1 |        4.80 |     |
| Y2294608|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2294608|       1000.000 |UN |Y2304715  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2307151|       1000.000 |UN |Y2305713  |HALB|X  |        15.000 |M  |0|1000 |      779.23 |     |
| Y2307151|       1000.000 |UN |Y2305713  |HALB|   |        73.333 |M  |0|1000 |      779.23 |     |
| Y2294609|       1000.000 |UN |Y2279580  |ZRAW|   |       180.000 |M  |1|    1 |        2.43 |     |
| Y2294609|       1000.000 |UN |Y2304704  |ZRAW|   |       200.000 |M  |1|    1 |        8.08 |     |
| Y2307152|       1000.000 |UN |Y2303572  |HALB|X  |        15.000 |M  |0|1000 |      266.87 |     |
| Y2307152|       1000.000 |UN |Y2303572  |HALB|   |        73.000 |M  |0|1000 |      266.87 |     |
| Y2294610|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294610|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294610|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2306266|       1000.000 |UN |Y3066712  |HALB|X  |        30.000 |M  |2|1000 |    1008.34 |     |
| Y2306266|       1000.000 |UN |Y3066712  |HALB|   |       359.000 |M  |2|1000 |    1008.34 |     |
| Y2294611|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294611|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294611|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2307153|       1000.000 |UN |Y2278240  |HALB|X  |        15.000 |M  |0|1000 |      738.50 |     |
| Y2307153|       1000.000 |UN |Y2278240  |HALB|   |        73.000 |M  |0|1000 |      738.50 |     |
| Y2294612|       1000.000 |UN |Y2279580  |ZRAW|   |       180.000 |M  |1|    1 |        2.43 |     |
| Y2294612|       1000.000 |UN |Y2304704  |ZRAW|   |       200.000 |M  |1|    1 |        8.08 |     |
| Y2307154|       1000.000 |UN |Y2305741  |HALB|X  |        20.000 |M  |0|1000 |      250.65 |     |
| Y2307154|       1000.000 |UN |Y2305741  |HALB|   |        83.000 |M  |0|1000 |      250.65 |     |
| Y2294613|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294613|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294613|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2307155|       1000.000 |UN |Y2278432  |HALB|X  |        15.000 |M  |0|1000 |      321.09 |     |
| Y2307155|       1000.000 |UN |Y2278432  |HALB|   |        13.000 |M  |0|1000 |      321.09 |     |
| Y2294614|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294614|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2294614|       1000.000 |UN |Y2279634  |ZRAW|   |     1000.000 |UN |0|    1 |        3.28 |     |
| Y2293499|       1000.000 |UN |Y2278436  |HALB|X  |        20.000 |M  |0|    1 |        1.45 |     |
| Y2293499|       1000.000 |UN |Y2278436  |HALB|   |         5.000 |M  |0|    1 |        1.45 |     |
| Y2294615|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294615|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294615|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293509|       1000.000 |UN |Y2279020  |HALB|X  |        20.000 |M  |0|1000 |      168.21 |     |
| Y2293509|       1000.000 |UN |Y2279020  |HALB|   |       170.000 |M  |0|1000 |      168.21 |     |
| Y2293509|       1000.000 |UN |Y2297326  |ZFIN|   |       170.000 |M  |0|    1 |       20.18 |     |
| Y2293509|       1000.000 |UN |Y2278704  |HALB|X  |        20.000 |M  |0|1000 |      130.40 |     |
| Y2293509|       1000.000 |UN |Y2278704  |HALB|   |       170.000 |M  |0|1000 |      130.40 |     |
| Y2294616|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294616|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294616|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293512|       1000.000 |UN |Y2278169  |HALB|X  |        30.000 |M  |0|1000 |      125.20 |     |
| Y2293512|       1000.000 |UN |Y2278169  |HALB|   |         3.333 |M  |0|1000 |      125.20 |     |
| Y2293512|       1000.000 |UN |Y2278941  |HALB|X  |        30.000 |M  |0|1000 |      279.12 |     |
| Y2293512|       1000.000 |UN |Y2278941  |HALB|   |         3.333 |M  |0|1000 |      279.12 |     |
| Y2294617|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294617|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2294617|       1000.000 |UN |Y2279634  |ZRAW|   |     1000.000 |UN |0|    1 |        3.28 |     |
| Y2293513|       1000.000 |UN |Y2305785  |HALB|X  |        20.000 |M  |0|    1 |        1.95 |     |
| Y2293513|       1000.000 |UN |Y2305785  |HALB|   |         6.500 |M  |0|    1 |        1.95 |     |
| Y2293513|       1000.000 |UN |Y2303227  |ZFIN|   |         6.500 |UN |1|    1 |       25.67 |     |
| Y2293513|       1000.000 |UN |Y2279193  |ZRAW|X  |        20.000 |M  |0|1000 |      445.30 |     |
| Y2293513|       1000.000 |UN |Y2279193  |ZRAW|   |         6.500 |M  |0|1000 |      445.30 |     |
| Y2294618|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294618|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294618|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293517|       1000.000 |UN |Y2278649  |HALB|X  |        30.000 |M  |0|1000 |      100.30 |     |
| Y2293517|       1000.000 |UN |Y2278649  |HALB|   |        16.000 |M  |0|1000 |      100.30 |     |
| Y2293517|       1000.000 |UN |Y2297355  |ZFIN|   |        16.000 |M  |0|    1 |       28.22 |     |
| Y2293517|       1000.000 |UN |Y2277902  |HALB|X  |        30.000 |M  |1|1000 |    1376.93 |     |
| Y2293517|       1000.000 |UN |Y2277902  |HALB|   |        16.000 |M  |1|1000 |    1376.93 |     |
| Y2294619|       1000.000 |UN |Y2279580  |ZRAW|   |       180.000 |M  |1|    1 |        2.43 |     |
| Y2294619|       1000.000 |UN |Y2304704  |ZRAW|   |       200.000 |M  |1|    1 |        8.08 |     |
| Y2293555|       1000.000 |UN |Y2304704  |ZRAW|   |       220.200 |M  |1|    1 |        8.08 |     |
| Y2293555|       1000.000 |UN |Y2304715  |ZRAW|   |       202.400 |M  |1|    1 |        2.43 |     |
| Y2293555|       1000.000 |UN |Y2304716  |ZRAW|   |        20.200 |M  |1|    1 |        2.44 |     |
| Y2293556|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293556|       1000.000 |UN |Y2279611  |ZRAW|   |     1000.000 |UN |0|    1 |        3.28 |     |
| Y2293556|       1000.000 |UN |Y2304715  |ZRAW|   |       230.000 |M  |1|    1 |        2.43 |     |
| Y2293556|       1000.000 |UN |Y2304716  |ZRAW|   |       230.000 |M  |1|    1 |        2.44 |     |
| Y2294620|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294620|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294620|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293557|       1000.000 |UN |Y2304704  |ZRAW|   |        16.000 |M  |1|    1 |        8.08 |     |
| Y2293557|       1000.000 |UN |Y2304715  |ZRAW|   |        16.000 |M  |1|    1 |        2.43 |     |
| Y2293557|       1000.000 |UN |Y2304716  |ZRAW|   |        16.000 |M  |1|    1 |        2.44 |     |
| Y2294621|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294621|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2294621|       1000.000 |UN |Y2279634  |ZRAW|   |     1000.000 |UN |0|    1 |        3.28 |     |
| Y2293558|       1000.000 |UN |Y2304704  |ZRAW|   |        39.600 |M  |1|    1 |        8.08 |     |
| Y2293558|       1000.000 |UN |Y2304715  |ZRAW|   |        39.600 |M  |1|    1 |        2.43 |     |
| Y2293558|       1000.000 |UN |Y2304716  |ZRAW|   |        39.600 |M  |1|    1 |        2.44 |     |
| Y2294622|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294622|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294622|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293559|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293559|       1000.000 |UN |Y2279611  |ZRAW|   |     1000.000 |UN |0|    1 |        3.28 |     |
| Y2293559|       1000.000 |UN |Y2304715  |ZRAW|   |       230.000 |M  |1|    1 |        2.43 |     |
| Y2293559|       1000.000 |UN |Y2304716  |ZRAW|   |       230.000 |M  |1|    1 |        2.44 |     |
| Y2294623|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294623|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294623|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293560|       1000.000 |UN |Y2279580  |ZRAW|   |        16.000 |M  |1|    1 |        2.43 |     |
| Y2293560|       1000.000 |UN |Y2304704  |ZRAW|   |        16.000 |M  |1|    1 |        8.08 |     |
| Y2294624|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294624|       1000.000 |UN |Y2304704  |ZRAW|   |       350.000 |M  |1|    1 |        8.08 |     |
| Y2293561|       1000.000 |UN |Y2279580  |ZRAW|   |        46.000 |M  |1|    1 |        2.43 |     |
| Y2293561|       1000.000 |UN |Y2304704  |ZRAW|   |        46.000 |M  |1|    1 |        8.08 |     |
| Y2294625|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294625|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294625|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293562|       1000.000 |UN |Y2279580  |ZRAW|   |       204.000 |M  |1|    1 |        2.43 |     |
| Y2293562|       1000.000 |UN |Y2304704  |ZRAW|   |       204.000 |M  |1|    1 |        8.08 |     |
| Y2294626|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294626|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294626|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293563|       1000.000 |UN |Y2279580  |ZRAW|   |       230.000 |M  |1|    1 |        2.43 |     |
| Y2293563|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2293563|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2294627|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294627|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294627|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293564|       1000.000 |UN |Y2304705  |ZRAW|   |        25.200 |M  |1|    1 |        5.53 |     |
| Y2293564|       1000.000 |UN |Y2304715  |ZRAW|   |        25.200 |M  |1|    1 |        2.43 |     |
| Y2294628|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294628|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294628|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293565|       1000.000 |UN |Y2304705  |ZRAW|   |        74.400 |M  |1|    1 |        5.53 |     |
| Y2293565|       1000.000 |UN |Y2304715  |ZRAW|   |        74.400 |M  |1|    1 |        2.43 |     |
| Y2294629|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294629|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294629|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293566|       1000.000 |UN |Y2304705  |ZRAW|   |         6.000 |M  |1|    1 |        5.53 |     |
| Y2293566|       1000.000 |UN |Y2304715  |ZRAW|   |         6.000 |M  |1|    1 |        2.43 |     |
| Y2294630|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294630|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294630|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293567|       1000.000 |UN |Y2304705  |ZRAW|   |        12.000 |M  |1|    1 |        5.53 |     |
| Y2293567|       1000.000 |UN |Y2304715  |ZRAW|   |        12.000 |M  |1|    1 |        2.43 |     |
| Y2294631|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294631|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294631|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293568|       1000.000 |UN |Y2304705  |ZRAW|   |        38.000 |M  |1|    1 |        5.53 |     |
| Y2293568|       1000.000 |UN |Y2304715  |ZRAW|   |        38.000 |M  |1|    1 |        2.43 |     |
| Y2294632|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294632|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294632|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293569|       1000.000 |UN |Y2304705  |ZRAW|   |       200.000 |M  |1|    1 |        5.53 |     |
| Y2293569|       1000.000 |UN |Y2304715  |ZRAW|   |       170.000 |M  |1|    1 |        2.43 |     |
| Y2294633|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294633|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294633|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293570|       1000.000 |UN |Y4224890  |ZRAW|   |       180.000 |M  |0|    1 |        1.34 |     |
| Y2293570|       1000.000 |UN |Y2304715  |ZRAW|   |       170.000 |M  |1|    1 |        2.43 |     |
| Y2293570|       1000.000 |UN |Y2279608  |ZRAW|   |     1000.000 |UN |0|    1 |        3.45 |     |
| Y2294634|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294634|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294634|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293571|       1000.000 |UN |Y2304705  |ZRAW|   |        25.200 |M  |1|    1 |        5.53 |     |
| Y2293571|       1000.000 |UN |Y2304715  |ZRAW|   |        25.200 |M  |1|    1 |        2.43 |     |
| Y2293571|       1000.000 |UN |Y2304716  |ZRAW|   |        25.200 |M  |1|    1 |        2.44 |     |
| Y2294635|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294635|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2294635|       1000.000 |UN |Y2279634  |ZRAW|   |     1000.000 |UN |0|    1 |        3.28 |     |
| Y2293572|       1000.000 |UN |Y2304705  |ZRAW|   |        38.000 |M  |1|    1 |        5.53 |     |
| Y2293572|       1000.000 |UN |Y2304715  |ZRAW|   |        38.000 |M  |1|    1 |        2.43 |     |
| Y2293572|       1000.000 |UN |Y2304716  |ZRAW|   |        38.000 |M  |1|    1 |        2.44 |     |
| Y2294636|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294636|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294636|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293573|       1000.000 |UN |Y2304705  |ZRAW|   |       200.000 |M  |1|    1 |        5.53 |     |
| Y2293573|       1000.000 |UN |Y2304715  |ZRAW|   |       170.000 |M  |1|    1 |        2.43 |     |
| Y2293573|       1000.000 |UN |Y2304716  |ZRAW|   |       170.000 |M  |1|    1 |        2.44 |     |
| Y2294637|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294637|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294637|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293574|       1000.000 |UN |Y4224890  |ZRAW|   |       180.000 |M  |0|    1 |        1.34 |     |
| Y2293574|       1000.000 |UN |Y2304715  |ZRAW|   |       170.000 |M  |1|    1 |        2.43 |     |
| Y2293574|       1000.000 |UN |Y2279608  |ZRAW|   |     1000.000 |UN |0|    1 |        3.45 |     |
| Y2293574|       1000.000 |UN |Y2304716  |ZRAW|   |       170.000 |M  |1|    1 |        2.44 |     |
| Y2294638|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294638|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294638|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293575|       1000.000 |UN |Y2304705  |ZRAW|   |        25.200 |M  |1|    1 |        5.53 |     |
| Y2293575|       1000.000 |UN |Y2304715  |ZRAW|   |        25.200 |M  |1|    1 |        2.43 |     |
| Y2294639|       1000.000 |UN |Y2279580  |ZRAW|   |       180.000 |M  |1|    1 |        2.43 |     |
| Y2294639|       1000.000 |UN |Y2304704  |ZRAW|   |       200.000 |M  |1|    1 |        8.08 |     |
| Y2293576|       1000.000 |UN |Y2304705  |ZRAW|   |        70.800 |M  |1|    1 |        5.53 |     |
| Y2293576|       1000.000 |UN |Y2304715  |ZRAW|   |        70.800 |M  |1|    1 |        2.43 |     |
| Y2294640|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294640|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294640|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293577|       1000.000 |UN |Y2304705  |ZRAW|   |        25.200 |M  |1|    1 |        5.53 |     |
| Y2293577|       1000.000 |UN |Y2304715  |ZRAW|   |        25.200 |M  |1|    1 |        2.43 |     |
| Y2294641|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294641|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2294641|       1000.000 |UN |Y2279634  |ZRAW|   |     1000.000 |UN |0|    1 |        3.28 |     |
| Y2293578|       1000.000 |UN |Y2304705  |ZRAW|   |        40.400 |M  |1|    1 |        5.53 |     |
| Y2293578|       1000.000 |UN |Y2304715  |ZRAW|   |        40.400 |M  |1|    1 |        2.43 |     |
| Y2294642|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294642|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294642|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293579|       1000.000 |UN |Y2304705  |ZRAW|   |        38.000 |M  |1|    1 |        5.53 |     |
| Y2293579|       1000.000 |UN |Y2304715  |ZRAW|   |        38.000 |M  |1|    1 |        2.43 |     |
| Y2294643|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294643|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294643|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293580|       1000.000 |UN |Y2279610  |ZRAW|   |     1000.000 |UN |0|    1 |        4.00 |     |
| Y2293580|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293580|       1000.000 |UN |Y2304715  |ZRAW|   |       230.000 |M  |1|    1 |        2.43 |     |
| Y2294644|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294644|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294644|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293581|       1000.000 |UN |Y2279610  |ZRAW|   |     1000.000 |UN |0|    1 |        4.00 |     |
| Y2293581|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293581|       1000.000 |UN |Y2304715  |ZRAW|   |       230.000 |M  |1|    1 |        2.43 |     |
| Y2294645|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294645|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294645|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293582|       1000.000 |UN |Y2304704  |ZRAW|   |       200.000 |M  |1|    1 |        8.08 |     |
| Y2293582|       1000.000 |UN |Y2304715  |ZRAW|   |        80.000 |M  |1|    1 |        2.43 |     |
| Y2293582|       1000.000 |UN |Y2304716  |ZRAW|   |        60.000 |M  |1|    1 |        2.44 |     |
| Y2294646|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294646|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294646|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
| Y2293583|       1000.000 |UN |Y2279615  |ZRAW|   |     1000.000 |UN |0|    1 |        3.45 |     |
| Y2293583|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293583|       1000.000 |UN |Y2304715  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294647|       1000.000 |UN |Y2279633  |ZRAW|   |     1000.000 |UN |0|    1 |        1.93 |     |
| Y2294647|       1000.000 |UN |Y2279580  |ZRAW|   |        90.000 |M  |1|    1 |        2.43 |     |
| Y2294647|       1000.000 |UN |Y4224890  |ZRAW|   |        90.000 |M  |0|    1 |        1.34 |     |
| Y2293584|       1000.000 |UN |Y4224890  |ZRAW|   |       180.000 |M  |0|    1 |        1.34 |     |
| Y2293584|       1000.000 |UN |Y2279583  |ZRAW|   |     1000.000 |UN |0|    1 |        5.67 |     |
| Y2293584|       1000.000 |UN |Y2304715  |ZRAW|   |       180.000 |M  |1|    1 |        2.43 |     |
| Y2293584|       1000.000 |UN |Y2304716  |ZRAW|   |        60.000 |M  |1|    1 |        2.44 |     |
| Y2294648|       1000.000 |UN |Y2279580  |ZRAW|   |       350.000 |M  |1|    1 |        2.43 |     |
| Y2294648|       1000.000 |UN |Y2279585  |ZRAW|   |     1000.000 |UN |0|    1 |       12.66 |     |
| Y2294648|       1000.000 |UN |Y4224890  |ZRAW|   |       350.000 |M  |0|    1 |        1.34 |     |
