15012016                              Saída dinâmica de lista                                      1
------------------------------------------------------------------------------------------------------
15012016                          Fiscal - Cálculo Parcela Dedutível                             1
------------------------------------------------------------------------------------------------------
Fiscal - Cálculo Parcela Dedutível
------------------------------------------------------------------------------------------------------
| Material|Quantidade básica|UMB|Componente|TMat|Qtd|           Qtd|UM |O|   por| Prçstandard|Moeda|
| Y4086355|       1000.000 |UN |Y2278531  |HALB|X  |        28.000 |M  |0|1000 |      741.52 |     |
| Y4086355|       1000.000 |UN |Y2278531  |HALB|   |       327.000 |M  |0|1000 |      741.52 |     |
| Y2304128|       1000.000 |UN |Y3703593  |ZRAW|   |         8.833 |M  |0|  100 |       22.75 |     |
| Y2304128|       1000.000 |UN |Y3703593  |ZRAW|X  |        28.000 |M  |0|  100 |       22.75 |     |
| Y2304128|       1000.000 |UN |Y2277982  |HALB|   |         8.833 |M  |0|1000 |      430.00 |     |
| Y2304128|       1000.000 |UN |Y2277982  |HALB|X  |        28.000 |M  |0|1000 |      430.00 |     |
| Y4170144|         720.000 |M  |Y4026280  |ZRAW|   |       228.387 |M  |0|    1 |        3.45 |     |
| Y4170027|       1000.000 |UN |Y3957216  |HALB|X  |        25.000 |M  |0|    1 |        4.84 |     |
| Y4170027|       1000.000 |UN |Y3957216  |HALB|   |        23.750 |M  |0|    1 |        4.84 |     |
| Y4170027|       1000.000 |UN |Y4132699  |HALB|X  |        25.000 |M  |2|    1 |        1.13 |     |
| Y4170027|       1000.000 |UN |Y4132699  |HALB|   |        23.750 |M  |2|    1 |        1.13 |     |
| Y3822568|       1000.000 |UN |Y2303560  |HALB|X  |        45.000 |M  |0|1000 |      158.18 |     |
| Y3822568|       1000.000 |UN |Y2303560  |HALB|   |        10.800 |M  |0|1000 |      158.18 |     |
| Y3345481|       1000.000 |UN |Y2303726  |HALB|X  |        28.000 |M  |0|1000 |      799.72 |     |
| Y3345481|       1000.000 |UN |Y2303726  |HALB|   |       103.000 |M  |0|1000 |      799.72 |     |
| Y4093008|         500.000 |M  |Y4000869  |ZRAW|   |       115.196 |M  |0|    1 |        5.72 |     |
| Y3957619|       1000.000 |UN |Y3959090  |HALB|X  |        20.000 |M  |0|    1 |        4.53 |     |
